Date,Close_itx,Close_bbva,Close_acs,Close_san,Close_ibex
2011-06-09,12.166,7.75,31.711264,7.419005,10121.700195
2011-06-10,12.062,7.565,30.979771,7.254997,9950.799805
2011-06-13,12.222,7.555,30.979771,7.229547,9946.200195
2011-06-14,12.35,7.732,31.548161,7.407694,10132.599609
2011-06-15,12.154,7.5,30.717815,7.182418,9933.099609
2011-06-16,12.126,7.525,31.142874,7.184304,9918.5
2011-06-17,12.116,7.942,31.261494,7.493468,10135.200195
2011-06-20,12.064,7.831,30.693104,7.413349,10038.099609
2011-06-21,12.442,8.037,31.562988,7.564161,10231.900391
2011-06-22,12.51,8.003,31.083563,7.540597,10226.200195
2011-06-23,12.462,7.566,30.47069,7.179591,9942.599609
2011-06-24,12.38,7.485,29.699656,7.077793,9812.700195
2011-06-27,12.516,7.599,30.00609,7.115496,9872.200195
2011-06-28,12.51,7.72,30.025862,7.193729,9936.700195
2011-06-29,12.55,7.895,31.088505,7.347369,10143.599609
2011-06-30,12.568,8.09,32.146206,7.505722,10359.900391
2011-07-01,12.476,8.342,32.620689,7.703662,10492.0
2011-07-04,12.848,8.271,32.422989,7.662189,10468.0
2011-07-05,12.784,8.135,30.782068,7.559448,10330.099609
2011-07-06,12.722,7.931,30.347126,7.399211,10204.5
2011-07-07,12.714,7.91,30.445976,7.412407,10196.200195
2011-07-08,12.86,7.52,30.391609,7.129634,9938.200195
2011-07-11,12.564,7.215,29.566206,6.904359,9670.599609
2011-07-12,12.35,7.267,29.012644,6.91944,9603.400391
2011-07-13,12.456,7.29,29.259769,6.906244,9666.900391
2011-07-14,12.372,7.311,28.86931,6.92321,9598.599609
2011-07-15,12.378,7.197,28.676552,6.838379,9484.200195
2011-07-18,12.424,7.029,28.073563,6.713016,9347.799805
2011-07-19,12.364,7.105,28.676552,6.821412,9443.799805
2011-07-20,12.7,7.415,29.12138,7.163567,9732.799805
2011-07-21,12.69,7.826,29.76885,7.480272,10017.599609
2011-07-22,12.834,7.75,30.396551,7.394498,10059.299805
2011-07-25,12.898,7.48,29.684828,7.156969,9866.200195
2011-07-26,12.832,7.46,29.487125,7.146601,9833.400391
2011-07-27,12.784,7.247,29.12138,6.91944,9643.299805
2011-07-28,12.67,7.372,29.071955,6.945832,9657.0
2011-07-29,12.628,7.349,29.146091,6.904359,9630.700195
2011-08-01,12.492,7.0,27.984596,6.543353,9318.200195
2011-08-02,12.122,6.803,27.287701,6.358608,9114.900391
2011-08-03,12.02,6.747,26.704481,6.281317,9037.700195
2011-08-04,11.532,6.469,25.824713,6.003258,8686.5
2011-08-05,11.458,6.49,26.081724,6.073951,8671.200195
2011-08-08,11.122,6.375,25.676435,6.0042,8459.400391
2011-08-09,11.254,6.311,25.053679,5.984406,8428.900391
2011-08-10,11.104,5.817,24.490229,5.485784,7966.0
2011-08-11,11.54,6.053,25.720919,5.661103,8249.400391
2011-08-12,11.784,6.43,27.01092,6.032477,8647.299805
2011-08-15,11.836,6.504,27.134481,6.094687,8709.0
2011-08-16,11.802,6.497,26.912067,6.139931,8674.299805
2011-08-17,12.03,6.475,27.332184,6.172921,8728.200195
2011-08-18,11.52,6.102,25.701149,5.921254,8317.700195
2011-08-19,11.092,5.971,25.454021,5.739337,8141.899902
2011-08-22,11.236,6.04,25.799999,5.785523,8293.900391
2011-08-23,11.138,5.979,26.012527,5.785523,8279.799805
2011-08-24,11.188,6.043,26.491955,5.788351,8369.099609
2011-08-25,11.138,6.0,26.54138,5.749705,8299.099609
2011-08-26,10.966,5.9,26.185516,5.664873,8185.5
2011-08-29,11.154,6.075,27.164137,5.800604,8395.0
2011-08-30,11.384,6.092,27.431034,5.797776,8444.799805
2011-08-31,11.86,6.338,28.24161,6.051329,8718.599609
2011-09-01,12.06,6.36,28.197126,6.072066,8761.099609
2011-09-02,11.916,6.04,27.391495,5.777982,8463.5
2011-09-05,11.578,5.69,26.195402,5.434885,8066.5
2011-09-06,11.426,5.595,25.552874,5.325546,7936.399902
2011-09-07,11.816,5.72,26.215172,5.430172,8156.600098
2011-09-08,11.92,5.819,26.847816,5.515946,8277.799805
2011-09-09,11.768,5.434,25.66161,5.205839,7910.200195
2011-09-12,11.734,5.144,24.910343,4.961713,7640.700195
2011-09-13,11.722,5.401,25.206896,5.17662,7834.200195
2011-09-14,12.104,5.551,25.750574,5.307637,8045.700195
2011-09-15,12.36,5.85,26.21023,5.580042,8337.900391
2011-09-16,12.596,5.95,26.284367,5.580042,8388.400391
2011-09-19,12.27,5.781,25.819771,5.454679,8222.700195
2011-09-20,12.61,5.902,25.775288,5.570616,8362.200195
2011-09-21,12.73,5.7,25.66161,5.42923,8210.299805
2011-09-22,12.454,5.389,24.60885,5.157768,7830.799805
2011-09-23,12.702,5.675,24.658276,5.397182,7996.899902
2011-09-26,13.04,5.891,25.132757,5.576271,8201.700195
2011-09-27,13.098,6.238,26.496897,5.821341,8531.900391
2011-09-28,12.886,6.159,26.768736,5.735566,8480.200195
2011-09-29,13.054,6.29,26.837931,5.830766,8592.5
2011-09-30,12.872,6.18,26.284367,5.866584,8546.599609
2011-10-03,12.566,5.96,25.888966,5.661103,8353.799805
2011-10-04,12.184,5.897,24.895517,5.574386,8225.400391
2011-10-05,12.504,6.176,25.444138,5.732739,8477.299805
2011-10-06,12.618,6.348,26.402988,5.90523,8704.799805
2011-10-07,12.778,6.45,26.422758,5.970267,8798.400391
2011-10-10,12.996,6.52,26.887356,5.985349,8892.400391
2011-10-11,13.244,6.45,26.872528,5.929737,8845.5
2011-10-12,13.194,6.706,27.366781,6.046616,9026.5
2011-10-13,13.46,6.499,27.164137,5.936335,8943.5
2011-10-14,13.442,6.455,27.67816,5.87224,8975.5
2011-10-17,13.516,6.37,27.42609,5.715772,8864.299805
2011-10-18,13.276,6.31,27.351954,5.720485,8811.299805
2011-10-19,13.1,6.454,27.134481,5.796834,8849.5
2011-10-20,13.384,6.136,26.487011,5.518774,8608.200195
