Date,Close_bbva,Close_bankinter,Close_sabadell,Close_santander,Close_ibex
2011-07-04,8.271,1.470266,1.784591,7.662189,10468.0
2011-07-05,8.135,1.445573,1.77372,7.559448,10330.099609
2011-07-06,7.931,1.393725,1.727218,7.399211,10204.5
2011-07-07,7.91,1.384467,1.710308,7.412407,10196.200195
2011-07-08,7.52,1.340951,1.628779,7.129634,9938.200195
2011-07-11,7.215,1.299598,1.564159,6.904359,9670.599609
2011-07-12,7.267,1.298672,1.565971,6.91944,9603.400391
2011-07-13,7.29,1.278919,1.545437,6.906244,9666.900391
2011-07-14,7.311,1.252689,1.518261,6.92321,9598.599609
2011-07-15,7.197,1.225529,1.507994,6.838379,9484.200195
2011-07-18,7.029,1.209789,1.491688,6.713016,9347.799805
2011-07-19,7.105,1.21658,1.509806,6.821412,9443.799805
2011-07-20,7.415,1.277687,1.565367,7.163567,9732.799805
2011-07-21,7.826,1.325522,1.638441,7.480272,10017.599609
2011-07-22,7.75,1.40422,1.649312,7.394498,10059.299805
2011-07-25,7.48,1.336322,1.596771,7.156969,9866.200195
2011-07-26,7.46,1.351756,1.590128,7.146601,9833.400391
2011-07-27,7.247,1.310092,1.543022,6.91944,9643.299805
2011-07-28,7.372,1.32367,1.566575,6.945832,9657.0
2011-07-29,7.349,1.331077,1.575633,6.904359,9630.700195
2011-08-01,7.0,1.278613,1.506786,6.543353,9318.200195
2011-08-02,6.803,1.234477,1.45968,6.358608,9114.900391
2011-08-03,6.747,1.219048,1.44579,6.281317,9037.700195
2011-08-04,6.469,1.169361,1.39808,6.003258,8686.5
2011-08-05,6.49,1.219358,1.417406,6.073951,8671.200195
2011-08-08,6.375,1.196211,1.417406,6.0042,8459.400391
2011-08-09,6.311,1.217196,1.448206,5.984406,8428.900391
2011-08-10,5.817,1.149918,1.382982,5.485784,7966.0
2011-08-11,6.053,1.190656,1.439751,5.661103,8249.400391
2011-08-12,6.43,1.885978,1.529735,6.032477,8647.299805
2011-08-15,6.504,1.282622,1.600394,6.094687,8709.0
2011-08-16,6.497,1.273058,1.616096,6.139931,8674.299805
2011-08-17,6.475,1.283858,1.627571,6.172921,8728.200195
2011-08-18,6.102,1.208248,1.608849,5.921254,8317.700195
2011-08-19,5.971,1.245588,1.588316,5.739337,8141.899902
2011-08-22,6.04,1.22707,1.600394,5.785523,8293.900391
2011-08-23,5.979,1.21596,1.60583,5.785523,8279.799805
2011-08-24,6.043,1.231394,1.612473,5.788351,8369.099609
2011-08-25,6.0,1.231394,1.619116,5.749705,8299.099609
2011-08-26,5.9,1.212877,1.612473,5.664873,8185.5
2011-08-29,6.075,1.237565,1.625759,5.800604,8395.0
2011-08-30,6.092,1.238491,1.626363,5.797776,8444.799805
2011-08-31,6.338,1.266577,1.663202,6.051329,8718.599609
2011-09-01,6.36,1.262253,1.668034,6.072066,8761.099609
2011-09-02,6.04,1.225219,1.637838,5.777982,8463.5
2011-09-05,5.69,1.164732,1.600394,5.434885,8066.5
2011-09-06,5.595,1.138808,1.560535,5.325546,7936.399902
